name,artist,artist_first_letter,artist_songs_ratio,year,song_popularity,artist_popularity,duration_ms,key,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,genres,views,old_chart_position,new_chart_location
seventies_I'm Not In Love,10cc,1,0.004024145,1975,69,67,366640,4,4,0.748,0.401,0.527,0.00305,-15.632,0.0615,0.208,133.749,['Soft rock'],95326,0,54
seventies_Dreadlock Holiday,10cc,1,0.004024145,1979,66,67,267946,7,4,0.555,0.84,0.391,0.0109,-13.263,0.0581,0.871,105.014,['Reggae'],36181,7,0
seventies_Take A Chance On Me,ABBA,A,0.020120724,1978,65,81,243933,11,4,0.163,0.684,0.675,0,-8.123,0.0257,0.924,107.064,"['Europop', 'Disco']",32133,0,59
seventies_Chiquitita,ABBA,A,0.020120724,1979,61,81,326320,9,4,0.715,0.531,0.546,5.92E-06,-7.978,0.0332,0.392,84.286,"['Pop music', 'Europop']",46955,0,52
"seventies_Money, Money, Money",ABBA,A,0.020120724,1977,56,81,186786,9,4,0.43,0.756,0.741,0.00113,-6.426,0.0364,0.691,120.445,['Baroque pop'],41443,8,35
seventies_Waterloo,ABBA,A,0.020120724,1974,63,81,168960,2,4,0.395,0.445,0.949,8.18E-06,-4.682,0.0471,0.653,147.604,['Europop'],70785,0,31
seventies_Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,A,0.020120724,1979,70,81,292613,10,4,0.0261,0.748,0.499,0.00627,-9.653,0.0407,0.568,119.528,['Disco'],60035,0,19
seventies_Dancing Queen,ABBA,A,0.020120724,1976,74,81,230400,9,4,0.358,0.543,0.87,0.000939,-6.514,0.0428,0.754,100.804,"['Disco', 'Europop', 'Euro disco']",129165,0,6
seventies_Mamma Mia,ABBA,A,0.020120724,1975,70,81,213266,2,4,0.295,0.749,0.748,0.000443,-7.011,0.0323,0.827,137.547,"['Europop', 'Pop rock']",10273,0,4
seventies_Voulez-Vous,ABBA,A,0.020120724,1979,60,81,309173,0,4,0.162,0.71,0.784,0.000623,-6.865,0.0416,0.901,126.656,[],59763,0,0
seventies_Fernando,ABBA,A,0.020120724,1976,60,81,252960,9,4,0.627,0.354,0.535,2.90E-06,-8.876,0.0303,0.434,110.821,['Europop'],74561,0,0
"seventies_Knowing Me, Knowing You",ABBA,A,0.020120724,1977,61,81,241920,2,4,0.0399,0.546,0.733,1.11E-06,-7.073,0.0299,0.91,107.285,['Europop'],24277,0,0
seventies_Sos,ABBAdance,A,0.002012072,2000,29,21,190984,0,4,0.0522,0.704,0.944,0.0298,-5.138,0.0332,0.705,137.992,[],0,0,57
seventies_Highway to Hell,AC/DC,A,0.002012072,1979,82,86,208400,6,4,0.0591,0.573,0.913,0.00173,-4.793,0.132,0.422,115.715,['Hard rock'],45645,0,21
seventies_Dream On,Aerosmith,A,0.002012072,1973,76,80,266960,1,4,0.388,0.307,0.433,9.08E-05,-10.057,0.029,0.224,160.9,"['Hard rock', 'Blues rock']",138199,0,11
seventies_Ramaya,Afric Simone,A,0.002012072,1976,37,33,190826,8,4,0.469,0.694,0.96,0.0102,-2.63,0.0901,0.97,112.434,[],4154,26,0
seventies_Let's Stay Together,Al Green,A,0.004024145,1971,73,71,199396,7,4,0.57,0.756,0.397,0.0115,-10.701,0.0522,0.507,101.985,['Soul music'],40507,0,0
seventies_Love and Happiness,Al Green,A,0.004024145,1977,61,71,307062,6,4,0.214,0.822,0.457,0.000397,-10.937,0.235,0.73,99.16,"['Soul music', 'R&B']",12268,0,0
seventies_Year of the Cat,Al Stewart,A,0.002012072,2018,20,55,401400,4,4,0.0114,0.531,0.607,0.00511,-9.602,0.0328,0.534,116.652,"['Rock (music)', 'Soft rock', 'Progressive pop']",40915,0,76
seventies_School's Out,Alice Cooper,A,0.002012072,1972,64,68,210106,5,4,0.05,0.294,0.745,0.125,-9.138,0.0461,0.347,134.364,['Hard rock'],44527,0,0
seventies_A Horse with No Name,America,A,0.006036217,1971,75,72,252239,11,4,0.686,0.654,0.506,0.0155,-17.18,0.0535,0.831,123.179,"['Folk rock', 'Soft rock']",140314,0,38
seventies_Ventura Highway,America,A,0.006036217,1972,69,72,211386,2,4,0.223,0.673,0.581,0.000206,-10.205,0.029,0.818,130.771,"['Soft rock', 'Folk rock']",49006,0,0
seventies_Sister Golden Hair,America,A,0.006036217,1975,65,72,199573,4,4,0.13,0.441,0.547,0.000143,-12.222,0.0337,0.716,134.753,"['Folk rock', 'Soft rock']",38694,14,0
