result,year,genres,views,spotify_name,spotify_artist
Dreadlock Holiday,1978,['Reggae'],36181,Dreadlock Holiday,10cc
I'm Not in Love,1975,['Soft rock'],95326,I'm Not In Love,10cc
Gimme! Gimme! Gimme! (A Man After Midnight),1979,['Disco'],60035,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
Chiquitita,1979,"['Pop music', 'Europop']",46955,Chiquitita,ABBA
Mamma Mia (ABBA song),1975,"['Europop', 'Pop rock']",10273,Mamma Mia,ABBA
None,0,[],0,Sos,ABBAdance
Take a Chance on Me,1978,"['Europop', 'Disco']",32133,Take A Chance On Me,ABBA
Dancing Queen,1976,"['Disco', 'Europop', 'Euro disco']",129165,Dancing Queen,ABBA
Waterloo (ABBA song),1974,['Europop'],70785,Waterloo,ABBA
Voulez-Vous,0,[],59763,Voulez-Vous,ABBA
Fernando (song),1976,['Europop'],74561,Fernando,ABBA
"Knowing Me, Knowing You",1977,['Europop'],24277,"Knowing Me, Knowing You",ABBA
"Money, Money, Money",1976,['Baroque pop'],41443,"Money, Money, Money",ABBA
Highway to Hell (song),1979,['Hard rock'],45645,Highway to Hell,AC/DC
Dream On (Aerosmith song),1973,"['Hard rock', 'Blues rock']",138199,Dream On,Aerosmith
Ramaya,1975,[],4154,Ramaya,Afric Simone
Let's Stay Together (Al Green song),1971,['Soul music'],40507,Let's Stay Together,Al Green
Love and Happiness,1977,"['Soul music', 'R&B']",12268,Love and Happiness,Al Green
Year of the Cat,0,"['Rock (music)', 'Soft rock', 'Progressive pop']",40915,Year of the Cat,Al Stewart
School's Out (album),0,['Hard rock'],44527,School's Out,Alice Cooper
A Horse with No Name,1971,"['Folk rock', 'Soft rock']",140314,A Horse with No Name,America
Ventura Highway,1972,"['Soft rock', 'Folk rock']",49006,Ventura Highway,America
Sister Golden Hair,1975,"['Folk rock', 'Soft rock']",38694,Sister Golden Hair,America
Knock on Wood (song),1966,['Soul music'],35423,Knock On Wood,Amii Stewart
(Where Do I Begin?) Love Story,1971,['Easy listening'],142482,"Where Do I Begin - Love Theme from ""Love Story""",Andy Williams
Ring My Bell,1979,['Disco'],45285,Ring My Bell,Anita Ward
Tu te reconnaîtras,0,[],6341,Tu te reconnaitras,Anne-Marie David
Rock Steady (Aretha Franklin song),1971,['Funk'],9863,Rock Steady,Aretha Franklin
Son of a Preacher Man,1968,"['Blue-eyed soul', 'Rhythm and blues']",74018,Son of a Preacher Man,Aretha Franklin
Bright Eyes (Art Garfunkel song),1979,['Pop ballad'],28639,Bright Eyes,Art Garfunkel
Yummy Yummy Yummy,1968,['Bubblegum pop'],27789,"Yummy, Yummy, Yummy",Baccara
"Yes Sir, I Can Boogie",1977,"['Disco', 'Euro disco']",28785,"Yes Sir, I Can Boogie",Baccara
You Ain't Seen Nothing Yet (Bachman–Turner Overdrive song),1974,['Rock music'],24299,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
